aX,aY,aZ,gX,gY,gZ
0.072,-0.143,2.575,73.364,-23.071,-0.793
-0.054,-0.080,2.723,103.699,-18.921,-3.967
-0.161,-0.163,2.681,145.813,-7.202,6.104
-0.222,-0.298,2.426,187.012,0.061,22.095
-0.113,-0.356,2.286,216.980,10.315,35.034
-0.068,-0.466,2.145,231.689,15.381,43.091
-0.013,-0.578,2.206,234.619,23.621,41.626
-0.010,-0.586,2.379,229.126,29.480,34.180
0.017,-0.501,2.532,223.633,37.842,25.696
0.011,-0.444,2.574,237.305,47.729,21.484
0.018,-0.373,2.468,263.855,53.894,21.790
0.028,-0.352,2.306,285.767,56.274,23.315
-0.084,-0.321,2.159,298.584,63.904,28.259
-0.183,-0.160,1.923,312.927,81.299,35.767
-0.212,0.009,1.555,341.553,104.309,49.011
-0.088,0.110,1.111,373.230,124.390,68.237
0.069,0.142,0.722,397.339,130.432,78.369
0.243,0.176,0.423,409.668,110.229,76.660
0.341,0.100,0.303,405.701,73.120,67.566
0.249,0.004,0.238,381.042,35.095,49.255
0.125,-0.013,0.270,352.051,16.785,35.889
0.094,0.081,0.351,330.750,19.348,30.884
0.054,0.167,0.379,317.627,29.480,31.067
-0.018,0.272,0.276,313.965,40.649,36.133
-0.073,0.333,0.046,318.726,57.373,46.204
-0.055,0.355,-0.220,323.547,79.529,57.007
0.095,0.357,-0.401,323.853,97.229,66.223
0.177,0.424,-0.549,314.514,101.929,69.885
0.324,0.466,-0.753,300.476,100.098,65.918
0.250,0.444,-0.950,286.011,96.008,55.664
0.106,0.414,-1.164,269.104,87.219,44.312
0.045,0.420,-1.425,255.066,83.008,37.720
-0.067,0.467,-1.720,242.249,77.515,34.607
-0.158,0.468,-2.054,224.182,65.674,32.837
-0.241,0.427,-2.396,196.106,54.504,33.691
-0.266,0.402,-2.649,157.898,46.143,34.180
-0.140,0.384,-2.792,112.061,34.241,29.297
-0.112,0.348,-2.808,61.340,14.221,18.799
-0.150,0.287,-2.694,8.789,-9.277,5.127
-0.170,0.214,-2.500,-39.978,-26.184,-5.005
-0.130,0.097,-2.231,-86.975,-32.349,-8.484
-0.047,-0.000,-1.923,-129.578,-32.837,-7.874
0.024,-0.069,-1.639,-165.222,-34.729,-6.409
0.067,-0.119,-1.400,-193.909,-38.818,-4.944
0.112,-0.132,-1.171,-217.041,-40.527,-3.235
0.140,-0.127,-0.971,-233.215,-39.490,-1.160
0.155,-0.142,-0.816,-241.699,-38.635,0.488
0.191,-0.150,-0.699,-243.958,-40.588,2.869
0.206,-0.161,-0.621,-243.347,-44.678,5.554
0.211,-0.163,-0.554,-242.920,-47.424,5.981
0.270,-0.160,-0.485,-244.995,-47.180,3.113
0.343,-0.201,-0.357,-250.122,-44.189,-2.991
0.350,-0.198,-0.184,-258.362,-44.006,-13.855
0.323,-0.260,-0.037,-263.550,-44.678,-22.461
0.334,-0.284,0.113,-265.259,-42.236,-27.222
0.380,-0.328,0.260,-264.587,-41.809,-25.330
0.389,-0.355,0.365,-262.085,-48.401,-24.231
0.367,-0.373,0.432,-255.371,-64.026,-25.879
0.275,-0.376,0.481,-246.887,-78.857,-29.358
0.167,-0.495,0.644,-241.882,-77.209,-31.738
0.054,-0.539,0.861,-241.211,-55.420,-32.288
0.094,-0.525,1.109,-239.075,-22.888,-25.696
0.214,-0.453,1.291,-231.506,9.033,-13.123
0.314,-0.394,1.350,-212.830,26.550,-2.319
0.403,-0.395,1.251,-185.120,28.564,4.883
0.468,-0.516,1.106,-160.339,20.752,6.165
0.516,-0.618,0.999,-147.461,11.292,7.202
0.582,-0.469,0.846,-148.804,-23.743,-8.362
0.549,-0.423,0.959,-160.889,-64.148,-14.221
0.478,-0.445,1.105,-178.101,-85.144,-25.269
0.335,-0.562,1.364,-188.293,-90.637,-37.964
0.181,-0.564,1.617,-186.890,-82.703,-50.964
0.056,-0.510,1.734,-168.823,-63.354,-49.927
0.004,-0.526,1.692,-135.437,-28.442,-33.142
0.083,-0.581,1.505,-97.839,7.202,-12.451
0.160,-0.592,1.261,-68.176,27.283,3.540
