aX,aY,aZ,gX,gY,gZ
-0.358,-1.069,1.667,-19.775,25.391,15.320
-0.303,-1.221,1.735,-19.043,24.841,19.897
-0.260,-1.365,1.787,-20.935,23.193,20.813
-0.234,-1.501,1.820,-23.926,17.151,17.334
-0.209,-1.603,1.799,-24.475,4.517,16.174
-0.180,-1.634,1.694,-17.883,-10.437,15.808
-0.124,-1.573,1.520,-4.150,-21.484,10.803
-0.004,-1.430,1.322,12.878,-24.109,2.686
0.127,-1.182,1.092,25.818,-22.156,-5.554
0.249,-0.893,0.887,28.931,-17.517,-13.916
0.355,-0.581,0.671,23.193,-11.658,-22.034
0.417,-0.194,0.464,14.038,-4.578,-31.799
0.493,0.236,0.318,4.150,6.165,-39.917
0.593,0.554,0.217,-10.498,17.944,-42.480
0.597,0.828,0.086,-33.020,24.170,-44.922
0.651,1.273,0.150,-56.763,32.532,-53.528
0.654,1.430,0.170,-73.364,30.884,-57.129
0.648,1.621,0.190,-97.351,34.973,-65.063
0.557,1.832,0.315,-120.178,47.119,-84.778
0.360,2.009,0.539,-131.470,59.937,-105.225
0.072,2.185,0.791,-128.418,74.829,-117.310
-0.198,2.301,1.042,-112.000,91.248,-119.141
-0.430,2.320,1.252,-89.722,99.731,-110.352
-0.615,2.365,1.469,-67.383,98.083,-92.407
-0.641,2.314,1.623,-40.833,89.111,-60.913
-0.456,2.052,1.599,-7.935,65.125,-11.658
-0.136,1.638,1.384,26.184,25.513,45.288
0.275,1.219,1.088,54.993,-17.395,97.412
0.589,0.789,0.774,75.745,-51.819,134.460
0.778,0.405,0.512,86.426,-68.909,147.217
0.820,0.090,0.323,89.172,-72.083,135.498
0.775,-0.099,0.186,88.562,-63.782,109.497
0.697,-0.182,0.078,85.876,-48.279,77.026
0.589,-0.139,0.023,77.087,-29.663,41.321
0.448,0.009,0.029,56.580,-12.146,9.155
0.324,0.208,0.139,27.039,1.953,-14.099
0.180,0.456,0.252,-2.441,13.306,-30.029
0.048,0.782,0.461,-27.222,23.865,-36.377
0.156,1.056,0.659,-46.265,33.508,-28.992
0.125,1.175,0.885,-56.396,32.043,-13.611
0.129,1.167,1.041,-56.396,20.569,4.211
0.175,1.087,1.120,-44.800,1.587,22.400
0.195,0.937,1.094,-23.437,-24.719,41.992
0.228,0.760,0.988,-0.732,-48.279,57.129
0.264,0.634,0.878,17.212,-61.462,64.636
0.263,0.512,0.789,31.616,-61.523,62.378
0.303,0.440,0.745,42.175,-49.377,52.673
0.373,0.420,0.753,47.852,-30.518,37.903
0.420,0.414,0.777,48.584,-15.869,19.104
0.411,0.434,0.776,44.128,-11.597,-0.122
0.383,0.458,0.776,36.011,-14.526,-15.137
0.362,0.484,0.756,24.841,-19.104,-25.879
0.245,0.523,0.764,11.353,-22.888,-32.898
0.042,0.529,0.814,1.587,-26.855,-34.241
-0.127,0.542,0.858,1.587,-30.945,-26.550
-0.207,0.552,0.863,12.024,-32.715,-10.742
-0.151,0.505,0.827,26.184,-31.494,8.118
-0.013,0.480,0.777,33.508,-29.724,25.635
0.052,0.450,0.758,32.227,-27.405,33.325
0.040,0.317,0.811,27.954,-22.278,28.259
